ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
1990:07:00,327.068,1.157,384.798,137.83,276.765,1.392,217.37
1990:08:00,329.825,1.145,385.288,136.816,277.647,1.308,219.694
1990:09:00,332.08,1.158,386.269,134.299,280,1.307,220.738
1990:10:00,334.336,1.16,389.7,130.772,282.941,1.282,222.082
1990:11:00,335.088,1.164,392.151,129.632,282.353,1.257,224.02
1990:12:00,336.341,1.16,391.661,128.04,282.059,1.281,224.008
1991:01:00,337.594,1.156,401.955,125.461,284.118,1.271,225.826
1991:02:00,337.845,1.155,401.955,127.699,283.235,1.269,228.07
1991:03:00,337.845,1.157,403.425,132.863,284.706,1.392,228.106
1991:04:00,338.596,1.154,403.425,133.54,286.471,1.44,228.654
1991:05:00,339.85,1.15,405.386,130.771,287.647,1.457,230.584
1991:06:00,340.852,1.144,407.347,126.836,286.765,1.53,231.53
1991:07:00,341.353,1.149,407.837,125.882,286.471,1.548,231.61
1991:08:00,342.356,1.145,408.327,126.231,287.059,1.52,232.815
1991:09:00,343.358,1.137,407.347,122.597,287.353,1.48,233.267
1991:10:00,343.86,1.128,406.857,121.165,290.588,1.478,233.473
1991:11:00,345.363,1.13,408.327,123.88,291.176,1.435,236.277
1991:12:00,346.366,1.147,406.367,124.041,289.706,1.386,235.716
1992:01:00,346.617,1.157,408.327,124.993,289.118,1.404,236.825
1992:02:00,347.368,1.183,408.327,120.76,288.824,1.456,238.516
1992:03:00,348.622,1.193,409.798,117.017,290.294,1.509,239.212
1992:04:00,349.373,1.187,410.288,112.411,293.235,1.519,239.594
1992:05:00,350.125,1.199,410.778,110.343,293.529,1.491,240.225
1992:06:00,351.128,1.196,411.759,107.412,293.235,1.425,241.18
1992:07:00,352.13,1.192,412.739,107.691,291.176,1.335,240.454
1992:08:00,352.882,1.191,412.739,103.765,292.059,1.297,241.083
1992:09:00,353.634,1.222,412.739,105.575,293.235,1.278,241.367
1992:10:00,355.138,1.245,413.229,107.02,293.529,1.318,241.717
1992:11:00,356.14,1.267,415.19,107.876,292.941,1.429,244.042
1992:12:00,356.642,1.273,415.19,109.913,292.941,1.422,243.78
1993:01:00,357.895,1.278,416.661,111.442,292.647,1.477,245.03
1993:02:00,358.647,1.26,418.131,106.301,292.941,1.518,246.603
1993:03:00,359.148,1.247,417.641,105.097,293.824,1.521,247.916
1993:04:00,360.401,1.262,417.641,103.484,295.882,1.46,248.669
1993:05:00,361.404,1.27,418.621,103.753,296.176,1.45,248.816
1993:06:00,361.654,1.279,418.621,102.526,295.882,1.477,248.752
1993:07:00,362.155,1.282,419.602,98.445,296.765,1.515,248.598
1993:08:00,362.907,1.308,420.092,99.94,297.353,1.497,249.823
1993:09:00,363.409,1.321,420.092,98.774,297.647,1.418,249.67
1993:10:00,364.912,1.326,421.072,98.353,297.353,1.443,249.856
1993:11:00,365.915,1.317,423.033,98.044,295.882,1.497,249.519
